learning_rate,weight_decay,lambda_l1,n_epochs,n_layers,margin,test_size,feature,avg_weight
0.001,1e-08,0.05,100,1,0.3,0.25,tumor_surgically_removed,0.22856874763965607
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Colorectal,0.20783871412277222
0.001,1e-08,0.05,100,1,0.3,0.25,diabetes_mellitus,0.20459727942943573
0.001,1e-08,0.05,100,1,0.3,0.25,dyslipidemia,0.20424199104309082
0.001,1e-08,0.05,100,1,0.3,0.25,arterial_hypertension,0.2039882242679596
0.001,1e-08,0.05,100,1,0.3,0.25,rs4524_n_risk_alleles,0.20224252343177795
0.001,1e-08,0.05,100,1,0.3,0.25,catheter_device,0.19888919591903687
0.001,1e-08,0.05,100,1,0.3,0.25,grade_histological_differentiation,0.1955893337726593
0.001,1e-08,0.05,100,1,0.3,0.25,rs6003_n_risk_alleles,0.1945914477109909
0.001,1e-08,0.05,100,1,0.3,0.25,rs5985_n_risk_alleles,0.1895424723625183
0.001,1e-08,0.05,100,1,0.3,0.25,performance_status,0.18938013911247253
0.001,1e-08,0.05,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.18780934810638428
0.001,1e-08,0.05,100,1,0.3,0.25,age_cancer_dx,0.18647503852844238
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_NSCLC,0.18564438819885254
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Active smoker,0.18521052598953247
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Pancreatic,0.1849421262741089
0.001,1e-08,0.05,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.18380658328533173
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Gastric,0.1828014999628067
0.001,1e-08,0.05,100,1,0.3,0.25,bmi,0.18240079283714294
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Never has smoked,0.18071377277374268
0.001,1e-08,0.05,100,1,0.3,0.25,rs5110_n_risk_alleles,0.1787884533405304
0.001,1e-08,0.05,100,1,0.3,0.25,sex,0.1782509833574295
0.001,1e-08,0.05,100,1,0.3,0.25,copd,0.17409376800060272
0.001,1e-08,0.05,100,1,0.3,0.25,rs169713_n_risk_alleles,0.1723816841840744
0.001,1e-08,0.05,100,1,0.3,0.25,family_background_vte,0.16772593557834625
0.001,1e-08,0.05,100,1,0.3,0.25,venous_insufficiency,0.16716688871383667
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Former smoker,0.167037695646286
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Bile duct,0.16180166602134705
0.001,1e-08,0.05,100,1,0.3,0.25,previous_ate,0.16107214987277985
0.001,1e-08,0.05,100,1,0.3,0.25,pTNM_stage,0.1561531275510788
0.001,1e-08,0.05,100,1,0.3,0.25,renal_insufficiency,0.13598893582820892
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Oesophageal,0.12239131331443787
0.001,1e-08,0.05,100,1,0.3,0.25,hormone_therapy,0.11827535927295685
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Brain,0.08002398908138275
0.001,1e-08,0.05,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.055341918021440506
0.001,1e-08,0.05,100,1,0.3,0.25,previous_vte,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs268_n_risk_alleles,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs6025_n_risk_alleles,1.0218704119324684e-05
